Strain,Stress(0.1),Stress(1),Stress(5)
0,0,0,0
0,51.14649,10.62087,6.84714
0.00002,53.40224,4.77069,3.63122
0.00004,37.62397,4.71166,2.67093
0.00009,27.51855,2.9517,1.86451
0.00014,43.00167,18.76381,2.17928
0.00019,42.44848,1.65003,1.23889
0.00024,41.90687,12.92266,3.01663
0.00049,34.55133,29.84289,15.71911
0.00074,57.47244,29.98399,28.8107
0.00099,78.97286,19.68726,26.43487
0.00199,8.85515,62.01998,71.20828
0.00299,75.88411,77.62502,81.47561
0.00399,95.53554,83.74404,94.1497
0.00499,97.55711,95.3796,104.8695
0.00599,87.19583,101.6902,110.3295
0.00699,116.9031,105.8818,112.9738
0.00799,117.6857,108.434,114.6941
0.00899,101.3406,111.0665,117.876
0.00999,118.2378,115.4123,120.9236
0.01499,120.2392,125.4814,126.7967
0.01999,122.6802,131.8611,130.0286
0.02499,125.5522,134.8629,132.408
0.02999,127.9985,137.3248,134.803
0.03499,130.9847,139.5204,136.6151
0.03999,133.2139,141.467,138.6144
0.04499,135.4931,143.2044,140.1863
0.04999,137.9817,144.4847,141.7718
0.05499,140.0943,146.0037,143.0695
0.05999,142.3867,147.3087,144.1749
0.06499,143.9992,148.3921,145.1064
0.06999,145.6334,149.4031,145.9145
0.07499,147.3972,150.4245,146.7079
0.07999,148.8812,151.3229,147.4875
0.08499,150.2843,152.0592,148.2544
0.08999,151.9884,152.8117,149.0356
0.09499,153.2451,153.4937,149.7684
0.09999,154.8761,154.2128,150.4418
0.11499,158.2351,156.1348,152.0857
0.12999,161.332,157.7972,153.7132
0.14499,164.621,159.2528,155.1524
0.15999,166.8085,160.4148,156.3406
0.17499,168.6518,161.4745,157.4388
0.18999,170.8354,162.5438,158.504
0.20499,171.8446,163.5936,159.4828
0.21999,172.7531,164.5498,160.3421
0.23499,173.6287,165.4936,161.2142
0.24999,173.7283,166.3844,161.7422
0.26499,174.0448,167.1205,162.3058
0.27999,173.8591,167.794,162.7684
0.29499,173.559,168.4379,163.3112
0.30999,173.1217,168.9681,163.6334
0.32499,171.7897,169.4187,164.0735
0.33999,170.0085,169.6533,164.1721
0.35499,167.3758,169.935,164.2814
0.36999,162.8498,170.0172,163.9776
0.38499,162.423,169.9845,163.3203
0.39999,155.382,169.6645,162.5714
0.41499,147.1852,168.4986,161.1028
0.42999,116.4027,166.9234,159.3727
0.44499,,162.7459,156.326
0.45999,,163.9801,150.704
0.47499,,161.4083,133.3057
0.48999,,157.8392,
0.50499,,146.2888,
